id,event_date,event_summary,source_quote,core_sentence,category,event_type,intensity,actor_raw_names,actor_normalized_names,actor_countries,recipient_raw_names,recipient_normalized_names,recipient_countries,third_party_raw_names,third_party_normalized_names,third_party_countries,location_raw_names,location_normalized_names,location_countries,article_count,article_links
"0f2186389856","2024-01-23","Russian missile strikes targeted key Ukrainian cities, resulting in the deaths of 18 people and injuries to 130 others. The strikes particularly affected Kharkiv, where a residential building was destroyed, and eight individuals, including an eight-year-old girl, were confirmed dead. Additional casualties occurred in Pavlohrad and Kyiv, with ongoing rescue efforts in Kharkiv.","Russian missile strikes killed 18 people and injured 130 more as they targeted key Ukrainian cities on Tuesday, officials say.","Russian military ASSAULT Ukrainian civilians","CONFLICT","ASSAULT","-0.9","Russian military","Russian military","Russia (143)","Ukrainian civilians","Ukrainian civilians","Ukraine (181)","","","","Kharkiv; Pavlohrad; Kyiv","","Ukraine (181); Ukraine (181); Ukraine (181)","1",""
"7230704ba0a5","2024-01-22","Russia conducted a missile and drone attack targeting Ukraine's civilian population, marking the fourth such attack since the end of December 2023. This recent aggression has extended to areas including the city of Chernihiv, indicating a shift in the geographical focus of the attacks.","A few days ago, Russia unleashed a fresh barrage of missiles and drones on Ukraine’s civilian population, in the fourth attack of its kind since the end of December.","Russia ASSAULT Ukraine and the Ukrainian civilian population","CONFLICT","ASSAULT","-0.9","Russia","Russia","Russia (143)","Ukraine; Ukrainian civilian population","Ukraine; Ukrainian civilian population","Ukraine (181); Ukraine (181)","","","","Chernihiv; Ukraine","","Ukraine (181); Ukraine (181)","1",""
"4e81d0c99e9e","2024-01-21","The Russian government accused Ukrainian forces of conducting a shelling attack on the city of Donetsk, resulting in the deaths of 27 civilians and injuries to 25 others. The Kremlin stated that it is taking all necessary measures to defend its citizens and key infrastructure from such attacks.","Moscow accused Kyiv's forces of killing 27 people in shelling of a Russian-held city in eastern Ukraine.","Russian government ACCUSE Ukrainian forces","CONFLICT","ACCUSE","-0.3","Russian government","Russian government","Russia (143)","Ukrainian forces","Ukrainian forces","Ukraine (181)","Civilians in Donetsk","Civilians in Donetsk","Ukraine (181)","Donetsk","","Ukraine (181)","1",""
"8ff8fc3db59e","2024-01-19","The State Duma of Russia, led by Chairman Vyacheslav Volodin, announced plans to formally inquire with France's National Assembly regarding the presence of French mercenaries fighting alongside Ukraine. This statement follows claims by the Russian Defence Ministry that over 60 foreign mercenaries, primarily French, were killed in Kharkiv, which France has denied, asserting its support for Ukraine's sovereignty without deploying mercenaries.","The lower house of the Russian parliament, the State Duma, plans to formally ask France's National Assembly if it is aware that French mercenaries have been fighting on Ukraine's side, Vyacheslav Volodin, the Duma's chairman, said on Friday.","State Duma of Russia CONSULT France's National Assembly","COOPERATION","CONSULT","0.2","State Duma of Russia","State Duma of Russia","Russia (143)","France's National Assembly","France's National Assembly","France (62)","Vyacheslav Volodin; Russian Defence Ministry; Ukraine","Vyacheslav Volodin; Russian Defense Ministry; Ukraine","Russia (143); Russia (143); Ukraine (181)","Russia; Kharkiv","","Russia (143); Ukraine (181)","2",""
"a69ef3f295ec","2024-01-19","The Russian military brought down a Ukrainian strike drone over an oil storage facility in Klintsy, Bryansk region, resulting in a fire at the facility controlled by Rosneft. Firefighters, aided by a specialized firefighting train, responded to the blaze, which was described as serious, but no injuries were reported.","""An aeroplane-style drone was brought down by the defence ministry using radio-electronic means. When the aerial target was destroyed, its munitions were dropped on the territory of the Klintsy oil depot,"" Bogomaz wrote on the Telegram messaging app.","Russian military ASSAULT Ukrainian military and Rosneft","CONFLICT","ASSAULT","-0.9","Russian military","Russian military","Russia (143)","Ukrainian military; Rosneft","Ukrainian forces; Rosneft","Ukraine (181); Russia (143)","","","","Klinty, Bryansk region","","Ukraine (181)","1",""
"4f97ddab8d50","2024-01-17","Russian forces launched missile strikes on the town of Chuhuiv, located southeast of Kharkiv, Ukraine, resulting in the death of one woman and injuries to another individual. The strikes were confirmed by regional governor Oleh Synehubov and were reported to have been executed using S-300 missiles.","Governor Oleh Synehubov, writing on the Telegram messaging app, said there were two strikes on the town of Chuhuiv, southeast of Kharkiv. A woman employee of a heating and power plant was killed.","Russian forces ASSAULT Civilians in Chuhuiv","CONFLICT","ASSAULT","-0.9","Russian forces","Russian forces","Russia (143)","Civilians in Chuhuiv","Civilians in Chuhuiv","Ukraine (181)","","","","Chuhuiv; Kharkiv","","Ukraine (181); Ukraine (181)","1",""
"e5b48ef8004f","2024-01-16","Russian missiles targeted the regions of Kharkiv, Odesa, and Kherson in Ukraine, resulting in damage to residential infrastructure and injuring at least 23 residents. The attacks included two S-300 missiles striking Kharkiv, injuring 17 people, and causing damage to 10 residential houses. The Ukrainian Air Force reported shooting down 19 out of 20 drones launched by Russia during the same period.","Russian missiles targeted the regions of Kharkiv, Odesa, and Kherson Tuesday night, damaging residential infrastructure and injuring dozens of residents.","Russia ASSAULT Ukraine and Kharkiv residents","CONFLICT","ASSAULT","-0.9","Russia","Russia","Russia (143)","Ukraine; Kharkiv residents","Ukraine; Residents of Kharkiv","Ukraine (181); Ukraine (181)","Ukrainian Air Force","Ukrainian Air Force","Ukraine (181)","Kharkiv; Odesa; Kherson","","Ukraine (181); Ukraine (181); Ukraine (181)","6",""
"0d7c9ae1c630","2024-01-16","The Armed Forces of the Russian Federation conducted a long-range precision strike on a temporary deployment point of foreign militants, primarily targeting French fighters, in the eastern Ukrainian city of Kharkiv. The attack resulted in injuries to several civilians and destruction of residential buildings.","""On the evening of 16 January, the Armed Forces of the Russian Federation carried out a precision strike on a temporary deployment point of foreign militants in the city of Kharkiv, the core of which were French mercenaries.""","Russian Armed Forces ASSAULT foreign militants, primarily French fighters, and Ukrainian civilians","CONFLICT","ASSAULT","-0.9","Russian Armed Forces","Russian military","Russia (143)","Foreign militants; French fighters; Ukrainian civilians","Hostages in Gaza; French fighters; Ukrainian civilians","France (62); Ukraine (181)","","","","Kharkiv","","Ukraine (181)","1",""
"b0b7339c7c6d","2024-01-12","Russian shelling in the southern Ukrainian city of Kherson resulted in the deaths of two individuals. The attack involved artillery strikes on a street, as reported by the head of the Kherson region, Oleksandr Prokudin.","Russian shelling on Friday killed two people in the southern Ukrainian city of Kherson, while a drone attack by Kyiv in the Moscow-controlled east killed another two, officials said.","Russian military ASSAULT Civilians in Kherson","CONFLICT","ASSAULT","-0.9","Russian military","Russian military","Russia (143)","Civilians in Kherson","Civilians in Kherson","Ukraine (181)","","","","Kherson","","Ukraine (181)","1",""
"a2ef944dfad4","2024-01-10","Two Russian missiles struck a hotel in Kharkiv, Ukraine, injuring 11 people, including visiting Turkish journalists. This attack is part of a broader pattern of Russian airstrikes in the region, which also resulted in the death of a 48-year-old woman and damage to a school.","Two Russian missiles hit a hotel in Kharkiv late on Wednesday, injuring 11 people, one seriously, said the regional governor, Oleh Synehubov. Visiting Turkish journalists were among the injured, he wrote.","Russia ASSAULT Civilians in Kharkiv and Turkish journalists","CONFLICT","ASSAULT","-0.9","Russia","Russia","Russia (143)","Civilians in Kharkiv; Turkish journalists","Civilians in Kharkiv; Turkish journalists","Ukraine (181); Türkiye (177)","","","","Kharkiv","","Ukraine (181)","2",""
"a592a0b7f9a7","2024-01-06","Ukraine's top prosecutor Andriy Kostin reported that approximately half of the North Korean missiles fired by Russia at Ukraine failed during their operation. The investigation is focused on missile debris from 21 out of 50 missiles launched between December and February, with many missiles losing their programmed trajectories and exploding in midair.","About half of the North Korean missiles Russia has fired at Ukraine have failed, Ukraine's top prosecutor said, per new reporting.","Russia ACCUSE Ukraine","CONFLICT","ACCUSE","-0.2","Russia","Russia","Russia (143)","Ukraine","Ukraine","Ukraine (181)","","","","Ukraine","","Ukraine (181)","1",""
"fcc1762c0abc","2024-01-02","Russia conducted intense missile and drone attacks across Ukraine, resulting in the deaths of 86 civilians and injuries to 416 others. This wave of attacks began on December 29 and continued into early January, significantly increasing civilian casualties during a period of harsh winter conditions.","The U.N. mission said it is verifying reports the recent intense Russian missile and drone attacks that began hitting populated areas across Ukraine on Dec. 29 and continued into early January killed 86 civilians and injured 416 others.","Russia ASSAULT Ukrainian civilians","CONFLICT","ASSAULT","-0.9","Russia","Russia","Russia (143)","Ukrainian civilians","Ukrainian civilians","Ukraine (181)","","","","Ukraine","","Ukraine (181)","2",""
"7267081099f2","2024-01-02","United Nations sanctions monitors reported that debris from a North Korean Hwasong-11 series ballistic missile was found in Kharkiv, Ukraine. The missile is believed to have been launched from within Russia, which, along with North Korea, has denied any involvement in weapons deals.","the UN sanctions monitors concluded that 'debris recovered from a missile that landed in Kharkiv, Ukraine, on 2 January 2024 derives from a DPRK Hwasong-11 series missile' and is in violation of the arms embargo on North Korea.","Russia and North Korea ACCUSE each other over the alleged launch of a North Korean Hwasong-11 series ballistic missile in Kharkiv, Ukraine.","CONFLICT","ACCUSE","-0.3","Russia; North Korea","Russia; North Korea","Russia (143); North Korea (46)","","","","United Nations sanctions monitors","United Nations sanctions monitors","United Nations","Kharkiv","","Ukraine (181)","1",""
"039387a54270","2024-01-01","Russia announced its readiness to hand over the bodies of victims from a January military plane crash to Ukraine. The crash involved an Ilyushin Il-76 plane, which Moscow claims was downed by Kyiv, resulting in the deaths of 74 individuals, including 65 captured Ukrainian soldiers. Russian human rights official Tatyana Moskalkova stated she is in contact with Ukrainian officials regarding the transfer of the bodies.","Russia is ready to hand over to Ukraine the bodies of the victims of a January military plane crash, the RIA news agency cited Russian human rights official Tatyana Moskalkova as saying on Friday.","Russia AGREE Ukraine","COOPERATION","AGREE","0.5","Russia","Russia","Russia (143)","Ukraine","Ukraine","Ukraine (181)","Tatyana Moskalkova; Ukrainian officials","Tatyana Moskalkova; Ukrainian officials","Russia (143); Ukraine (181)","Russia; Ukraine","","Russia (143); Ukraine (181)","1",""
